HALTER_ID,ALTER,GESCHLECHT,STADTKREIS,STADTQUARTIER,RASSE1,RASSE1_MISCHLING,RASSE2,RASSE2_MISCHLING,RASSENTYP,GEBURTSJAHR_HUND,GESCHLECHT_HUND,HUNDEFARBE
67308,"41-50","w",11,"111","Shih Tzu",,,,"K",2012,"w","braun/weiss"
70076,"31-40","m",9,"92","Labrador Retriever",,,,"I",2009,"m","braun"
70176,"41-50","w",4,"44","Mischling gross",,,,"I",2012,"w","weiss"
70287,"51-60","m",2,"24","Hirtenhund",,,,"I",2006,"m","weiss/grau"
70296,"41-50","w",7,"74","Pinscher","Mischling",,,"K",2009,"m","hellbraun"
70296,"41-50","w",7,"74","Mischling klein",,,,"K",2010,"w","weiss/beige"
70577,"51-60","w",3,"34","Mischling klein",,,,"K",2003,"w","schwarz"
70788,"21-30","m",7,"71","Mops",,"Beagle",,"K",2014,"w","braun"
70793,"71-80","m",11,"115","Soft Coated Wheaten Terrier",,,,"I",2012,"m","beige"
71024,"61-70","w",7,"74","Lagotto Romagnolo",,,,"I",2012,"w","bianco-aranico"
71119,"51-60","w",9,"91","Zwergpinscher",,,,"K",2003,"w","black/tan"
71119,"51-60","w",9,"91","Prager Rattler",,"Chihuahua",,"K",2010,"w","black/tan"
71119,"51-60","w",9,"91","Chihuahua",,"Prager Rattler",,"K",2010,"m","black/tan"
71142,"51-60","w",7,"71","Canaan Dog",,,,"I",2008,"m","schwarz"
71344,"51-60","w",6,"63","Labrador Retriever",,,,"I",2002,"w","gelb"
71475,"31-40","m",3,"34","Lagotto Romagnolo",,,,"I",2015,"m","weiss/braun"
71542,"41-50","m",9,"92","Golden Retriever",,,,"I",2003,"w","blondfarben"
71555,"61-70","m",7,"71","Mischling klein",,,,"K",2009,"m","schwarz schimmel"
71670,"51-60","m",7,"71","Deutscher Schäfer",,,,"I",2012,"w","braun"
71757,"41-50","m",4,"42","Bouvier",,,,"I",2012,"m","gestromt"
71761,"41-50","m",9,"92","Jack Russel Terrier",,,,"K",2010,"m","tricolor"
71893,"41-50","w",6,"63","Border Collie",,,,"I",2012,"w","tricolor"
